Código,Ação,Tipo,setor,LPA,ROA,ROE,P/L,VPA
ALOS3,ALLOS,ON  EJ  NM,Exploração de Imóveis,"1,41",2.58,"5,5%","13,48","25,68"
ALPA4,ALPARGATAS,PN      N1,"Tecidos, Vestuário e Calçados","-2,20",-22.66,"-37,9%","-2,82","5,79"
ABEV3,AMBEV S/A,ON  EDJ,Bebidas,"0,88",9.47,"14,2%","12,54","6,23"
ASAI3,ASSAI,ON      NM,Comércio e Distribuição,"0,47",1.45,"12,7%","14,33","3,69"
AURE3,AUREN,ON      NM,Energia Elétrica,"0,69",2.3,"5,7%","11,78","11,98"
AMOB3,AUTOMOB,ON      NM,Automóveis e Motocicletas,"0,00",,,"0,00","0,81"
AZUL4,AZUL,PN      N2,Transporte,"-13,65",-20.3,"18,3%","-0,34","-74,79"
AZZA3,AZZAS 2154,ON      NM,Comércio,"2,57",3.56,"6,7%","13,29","38,09"
B3SA3,B3,ON      NM,Serviços Financeiros Diversos,"0,79",9.36,"22,5%","14,08","3,53"
BBSE3,BBSEGURIDADE,ON      NM,Previdência e Seguros,"4,26",44.32,"69,5%","9,05","6,13"
BBDC3,BRADESCO,ON      N1,Intermediários Financeiros,"1,49",0.96,"9,7%","7,40","15,31"
BBDC4,BRADESCO,PN      N1,Intermediários Financeiros,"1,49",0.96,"9,7%","8,11","15,31"
BRAP4,BRADESPAR,PN  EJ  N1,Mineração,"4,59",20.22,"20,5%","3,63","22,41"
BBAS3,BRASIL,ON      NM,Intermediários Financeiros,"6,17",1.45,"19,9%","4,49","31,00"
BRKM5,BRASKEM,PNA     N1,Químicos,"-9,70",-8.35,"30.942,6%","-1,42","-0,03"
BRAV3,BRAVA,ON      NM,"Petróleo, Gás e Biocombustíveis","1,11",1.43,"4,6%","20,16","24,23"
BRFS3,BRF SA,ON  EJ  NM,Alimentos Processados,"1,94",5.4,"19,8%","11,27","9,82"
BPAC11,BTGP BANCO,UNT EX  N2,Intermediários Financeiros,"2,97",2.2,"20,2%","10,96","14,67"
CXSE3,CAIXA SEGURI,ON      NM,Previdência e Seguros,"1,17",25.26,"27,0%","12,50","4,36"
CRFB3,CARREFOUR BR,ON  EJ  NM,Comércio e Distribuição,"0,01",0.03,"0,1%","522,20","9,41"
CCRO3,CCR SA,ON      NM,Transporte,"0,78",2.68,"11,7%","14,32","6,69"
CMIG4,CEMIG,PN  EJ  N1,Energia Elétrica,"2,80",12.7,"28,5%","3,92","9,81"
COGN3,COGNA ON,ON      NM,Diversos,"-0,24",-1.86,"-3,8%","-5,97","6,19"
CPLE6,COPEL,PNB     N2,Energia Elétrica,"1,04",5.49,"12,2%","9,33","8,55"
CSAN3,COSAN,ON      NM,"Petróleo, Gás e Biocombustíveis","1,20",1.54,"11,2%","6,46","10,67"
CPFE3,CPFL ENERGIA,ON      NM,Energia Elétrica,"4,76",7.27,"26,9%","7,22","17,72"
CMIN3,CSNMINERACAO,ON      N2,Mineração,"0,71",11.23,"43,3%","7,74","1,63"
CVCB3,CVC BRASIL,ON      NM,Viagens e Lazer,"-0,22",-2.96,"-20,0%","-8,88","1,11"
CYRE3,CYRELA REALT,ON      NM,Construção Civil,"3,65",7.15,"15,7%","5,60","23,29"
ELET3,ELETROBRAS,ON  ED  N1,Energia Elétrica,"4,40",3.63,"8,4%","8,20","52,56"
ELET6,ELETROBRAS,PNB ED  N1,Energia Elétrica,"4,40",3.63,"8,4%","9,02","52,56"
EMBR3,EMBRAER,ON      NM,Material de Transporte,"3,51",4.09,"15,2%","17,01","23,06"
ENGI11,ENERGISA,UNT     N2,Energia Elétrica,"5,41",3.36,"15,3%","7,33","35,44"
ENEV3,ENEVA,ON      NM,Energia Elétrica,"0,41",1.69,"5,3%","28,49","7,79"
EGIE3,ENGIE BRASIL,ON  EJ  NM,Energia Elétrica,"5,10",8.62,"38,5%","7,22","13,23"
EQTL3,EQUATORIAL,ON      NM,Energia Elétrica,"1,78",1.98,"8,7%","16,95","20,55"
EZTC3,EZTEC,ON      NM,Construção Civil,"1,63",5.68,"7,4%","7,78","22,12"
FLRY3,FLEURY,ON      NM,Serv.Méd.Hospit. Análises e Diagnósticos,"1,12",4.71,"11,5%","10,56","9,76"
GGBR4,GERDAU,PN      N1,Siderurgia e Metalurgia,"2,35",5.9,"8,7%","7,32","26,94"
GOAU4,GERDAU MET,PN      N1,Siderurgia e Metalurgia,"1,65",2.0,"8,7%","5,85","18,91"
NTCO3,GRUPO NATURA,ON      NM,Produtos de Uso Pessoal e de Limpeza,"-8,04",-34.47,"-71,8%","-1,57","11,20"
HAPV3,HAPVIDA,ON      NM,Serv.Méd.Hospit. Análises e Diagnósticos,"-0,07",-0.72,"-1,1%","-34,24","6,46"
HYPE3,HYPERA,ON  EDJ NM,Comércio e Distribuição,"2,48",6.06,"12,8%","7,38","19,28"
IGTI11,IGUATEMI S.A,UNT     N1,Exploração de Imóveis,"1,26",4.53,"8,9%","14,64","14,18"
IRBR3,IRBBRASIL RE,ON      NM,Previdência e Seguros,"3,21",1.63,"5,5%","16,48","58,77"
ISAE4,ISA ENERGIA,PN      N1,Energia Elétrica,"5,02",8.14,"16,8%","4,74","29,94"
ITSA4,ITAUSA,PN      N1,Intermediários Financeiros,"1,29",12.55,"16,2%","7,36","7,97"
ITUB4,ITAUUNIBANCO,PN      N1,Intermediários Financeiros,"3,83",8.47,"19,3%","8,84","19,80"
JBSS3,JBS,ON      NM,Alimentos Processados,"3,28",3.22,"15,6%","10,79","21,06"
KLBN11,KLABIN S/A,UNT EJ  N2,Madeira e Papel,"1,67",3.5,"20,7%","13,44","8,08"
RENT3,LOCALIZA,ON  EJ  NM,Diversos,"1,55",2.04,"6,6%","19,88","23,68"
LREN3,LOJAS RENNER,ON  EJ  NM,Comércio,"1,17",6.45,"11,9%","11,70","9,81"
LWSA3,LWSA,ON      NM,Programas e Serviços,"0,02",0.34,"0,5%","138,30","4,98"
MGLU3,MAGAZ LUIZA,ON      NM,Comércio,"0,50",1.03,"3,3%","15,06","14,97"
MRFG3,MARFRIG,ON      NM,Alimentos Processados,"0,26",0.17,"4,3%","61,50","6,08"
BEEF3,MINERVA,ON      NM,Alimentos Processados,"0,00",0.0,"0,2%","2.218,29","1,23"
MRVE3,MRV,ON      NM,Construção Civil,"-0,64",-1.31,"-5,5%","-8,86","11,67"
MULT3,MULTIPLAN,ON  EJ  N2,Exploração de Imóveis,"2,18",9.13,"15,4%","10,28","14,14"
PCAR3,P.ACUCAR-CBD,ON      NM,Comércio e Distribuição,"-3,28",-8.16,"-39,9%","-0,82","8,21"
PETR3,PETROBRAS,ON  EDJ N2,"Petróleo, Gás e Biocombustíveis","6,57",7.86,"21,5%","6,34","30,54"
PETR4,PETROBRAS,PN  EDJ N2,"Petróleo, Gás e Biocombustíveis","6,57",7.86,"21,5%","5,74","30,54"
RECV3,PETRORECSA,ON      NM,"Petróleo, Gás e Biocombustíveis","2,02",7.68,"12,9%","7,87","15,59"
PRIO3,PETRORIO,ON      NM,"Petróleo, Gás e Biocombustíveis","5,47",11.32,"26,9%","7,50","20,30"
PETZ3,PETZ,ON      NM,Comércio,"0,01",0.14,"0,3%","402,68","3,67"
RADL3,RAIADROGASIL,ON      NM,Comércio e Distribuição,"0,65",5.06,"17,6%","32,63","3,67"
RAIZ4,RAIZEN,PN      N2,"Petróleo, Gás e Biocombustíveis","0,07",0.54,"3,5%","25,52","2,10"
RDOR3,REDE D OR,ON  EJ  NM,Serv.Méd.Hospit. Análises e Diagnósticos,"1,61",3.77,"15,1%","17,34","10,69"
RAIL3,RUMO S.A.,ON      NM,Transporte,"-0,38",-1.4,"-4,6%","-49,02","8,08"
SBSP3,SABESP,ON      NM,Água e Saneamento,"13,65",12.26,"24,6%","6,93","55,46"
SANB11,SANTANDER BR,UNT,Intermediários Financeiros,"3,10",0.9,"13,1%","8,37","23,58"
STBP3,SANTOS BRP,ON  EJ  NM,Transporte,"0,88",10.94,"33,0%","14,97","2,66"
SMTO3,SAO MARTINHO,ON      NM,Alimentos Processados,"3,40",5.34,"17,2%","6,67","19,76"
CSNA3,SID NACIONAL,ON,Siderurgia e Metalurgia,"-1,04",-1.42,"-10,3%","-8,74","10,12"
SLCE3,SLC AGRICOLA,ON      NM,Agropecuária,"0,91",2.39,"8,1%","19,16","11,18"
SUZB3,SUZANO S.A.,ON  EJ  NM,Madeira e Papel,"3,31",2.73,"10,1%","18,86","32,81"
TAEE11,TAESA,UNT     N2,Energia Elétrica,"4,16",7.1,"20,6%","8,06","20,20"
VIVT3,TELEF BRASIL,ON  EJ,Telecomunicações,"3,30",4.35,"7,8%","15,71","42,33"
TIMS3,TIM,ON  EJ  NM,Telecomunicações,"0,66",,,"23,59","0,00"
TOTS3,TOTVS,ON      NM,Programas e Serviços,"1,08",7.4,"13,5%","31,41","8,01"
UGPA3,ULTRAPAR,ON      NM,"Petróleo, Gás e Biocombustíveis","2,35",6.66,"17,8%","7,04","13,18"
USIM5,USIMINAS,PNA     N1,Siderurgia e Metalurgia,"0,73",2.31,"3,8%","7,57","19,03"
VALE3,VALE,ON      NM,Mineração,"10,63",9.96,"23,1%","5,10","45,95"
VAMO3,VAMOS,ON      NM,Diversos,"0,64",2.79,"13,4%","7,54","4,81"
VBBR3,VIBRA,ON  EJ  NM,"Petróleo, Gás e Biocombustíveis","8,18",19.26,"44,8%","2,06","18,25"
VIVA3,VIVARA S.A.,ON      NM,"Tecidos, Vestuário e Calçados","2,11",13.8,"21,8%","10,16","9,66"
WEGE3,WEG,ON  EJ  NM,Máquinas e Equipamentos,"1,45",16.78,"30,9%","37,91","4,70"
YDUQ3,YDUQS PART,ON      NM,Diversos,"0,71",2.18,"6,4%","14,40","11,13"
